LicensePlate,RegistrationId,Expired
OLT 7490,629753020,0
EBW 6888,312535021,1
QUY 1408,591558818,1
GAE 1674,753432335,0
OOP 7450,969573317,1
RZS 7120,663804459,0
QRY 3887,197200178,1
XBE 9336,805292318,0
KWF 2061,609690735,0
RMS 5327,246302185,0
LMB 9635,972061274,0
XYE 8864,463138430,1
PYX 4383,251449247,1
CQU 3898,383486165,0
SOL 5350,107270811,0
IEM 9202,885570672,1
SYC 9324,118018115,1
DNM 4062,564455532,1
IHI 1660,448763051,1
GDD 9817,338983427,0
VKY 1105,585788686,0
KRB 3403,693943589,0
OEP 9654,266316221,1
QJB 8165,255417049,1
VGU 9669,706997127,1
MTR 7335,196529897,1
WDZ 3024,949524690,1
OBQ 1841,574416024,0
XHY 4275,416599085,1
JAG 3170,264629580,0
MLA 3848,798596152,1
OVB 1135,183126556,0
UKK 3032,306692185,0
BTT 5989,140658710,0
UDJ 7927,418447792,0
JQY 7381,780366236,1
VGG 7412,598460264,1
EXE 8936,608428279,1
NDU 2090,248806038,0
OXK 6552,559497145,1
OUM 9778,701287066,0
DCQ 9090,474621959,1
WJE 1439,456843308,0
FYO 4921,340882872,0
HFM 5455,247339248,1
DFT 6563,256051215,1
FEG 7467,788755216,0
HPS 8309,333651631,1
GMN 3212,460693408,1
CCN 3330,713424180,0
AQY 8250,798421943,0
GGE 4578,867216683,0
XME 1783,220543835,1
NMZ 6946,306047997,1
IWU 2376,577738774,0
HYN 8133,745373485,0
OMV 5359,614711203,0
PWQ 3736,404763160,1
LAZ 8539,763687304,0
MIK 3331,534033239,1
LCS 2079,204354974,1
SCU 1135,584443537,1
VAX 9549,143772906,0
AAO 8997,752804489,1
CLF 3708,384877166,0
THA 9353,147440923,0
HMT 7561,631838565,0
DKM 3985,100273201,1
HNH 1289,312451526,0
JOJ 2638,117476090,1
SKU 4637,337423187,0
QXZ 4826,681739805,1
PHL 3829,789130351,0
BTL 5496,109785276,1
CSB 5958,611040434,1
DDM 1724,112587312,0
LSD 2920,737072245,0
SWW 7621,481927466,1
ABU 1443,202254458,0
FFK 1068,388197626,1
FBI 5273,372313359,1
CNH 3246,899424830,0
EWB 4172,805239442,0
XJH 2003,564729548,1
TBA 2999,866799210,1
UKK 6436,116548089,1
TGO 4194,686728629,1
RUE 7573,896745084,0
EWL 3297,187271013,1
GCO 8376,768382407,0
NWR 5333,524795696,0
QOV 4833,642594240,1
POS 4578,504489495,1
JAE 7744,129249620,1
JNI 4838,418626452,1
CYM 3998,854157206,1
FEI 7192,173711920,0
KTH 9005,704561507,1
HWQ 8426,509937083,1
BTV 7293,203307423,1
DFF 9116,412788287,1
BGS 9154,258239720,0
KRX 8764,394691466,0
SMW 8022,235772561,1
HGM 7818,362910522,0
YNB 4269,585933139,1
DNK 6402,861145713,0
VJR 4287,466205848,1
VEL 6042,996778489,1
CJB 7338,640907898,0
FHY 6826,950539768,1
FBD 1539,768916413,1
WCQ 4862,961156118,1
VYW 7256,942839672,0
QKN 4854,337662811,0
UKX 3896,461792228,1
MEL 1209,246059631,0
QTL 6695,736757521,1
ARK 3608,891279957,1
GNJ 8600,115546857,1
DUU 9675,344097471,0
XNS 1646,969487636,1
JUU 5450,146666594,0
RZS 6690,479889540,1
TMN 3282,166510880,1
FQE 8921,906448873,0
ORM 1963,770166606,0
FYS 6671,939758835,0
XTL 2569,249158034,0
WMJ 2772,282510691,1
UQL 8215,875750654,0
QMX 4471,940148465,0
ROG 5650,495120071,0
XDO 5127,425204592,0
LAL 2249,126218652,0
AJM 7458,383659334,0
SKB 4208,107361510,0
ENV 1708,540222434,1
TIB 8783,376164313,0
FIH 2229,418808037,1
XML 5541,415719285,1
XZG 2283,817571886,0
KND 1983,358228899,1
NJO 8729,434351529,1
IEB 4642,559922054,1
VPA 3213,515684436,1
ARE 3254,264405339,1
IQN 1075,504326140,1
YCB 4766,672477278,1
HAC 7774,243517144,0
NML 3471,375338043,0
AEB 6380,190265695,1
SGE 1224,569032344,1
EIS 3555,510271993,0
YKY 1466,969343028,0
KGN 9775,764452112,1
BBI 3902,998277834,0
SJZ 4838,747590993,0
UGN 4283,635459252,1
LFA 1385,405138472,1
GYF 6810,266066624,1
CSN 5452,963981553,0
LVI 4971,624167532,0
KNS 6045,327231991,1
XBR 7164,563678969,1
RAS 4878,149265495,0
BBE 2377,382895403,1
WHH 1509,943025508,1
MAQ 9375,663541391,1
ESS 5435,760843357,0
ELF 1015,854986981,1
TZU 3691,428777633,1
YGF 7327,717738067,1
KWC 9114,280826977,0
WSK 9045,317731280,0
IPI 1274,973392351,1
UWM 4214,390291624,1
ZEQ 2074,993102305,0
QMA 7822,169361541,1
AHF 7409,223826243,0
OVT 4895,968976435,1
FXH 3768,924480641,1
MBN 2550,930054755,0
VTT 1300,332727940,1
ION 4979,105691936,1
RBT 4168,833611711,0
EOF 8839,922984576,0
BIO 2862,348274071,0
JWJ 2893,882053041,0
JNP 9994,195413605,0
HTX 6434,682219854,1
CDG 1447,989114439,0
UZV 6835,967761046,1
EDH 5387,185426166,0
ILF 4079,974214870,0
XEL 8463,635399506,0
EMR 7557,215247962,0
UHW 9846,472364243,1
OTO 6856,832082440,1
CUR 7723,345773605,0
QTE 9432,233901784,1
YZJ 7108,518766011,0
GLZ 2385,741307652,1
HJA 3780,801853562,0
TGJ 5089,764985865,1
MLF 5358,183834398,0
ZVD 1550,142790606,0
NWG 1411,460668807,0
ZYB 8833,511036864,1
EIY 9278,257437821,1
LMF 6138,275428163,0
HTJ 6404,250366327,1
QFH 6311,810408175,1
ZSW 1138,514073167,1
SPZ 3403,391909137,1
LBR 3251,666851771,1
FYR 3139,765366180,1
ZKU 2813,299423825,0
QON 1545,953064777,0
BKA 4834,856806627,1
BBL 6377,249350546,0
FKP 7603,434912516,1
FTZ 2930,121057106,0
ANK 7766,677892148,1
FJD 2840,281184128,0
OUC 1964,268971630,1
FKF 7024,991045535,1
QXF 7268,867809198,0
MVK 9591,453857156,0
EHK 7180,431226230,1
ZAF 4468,269330963,1
TCO 3493,118572001,1
VJO 6119,211362642,1
ONN 9149,750676650,0
VPK 8158,925832585,1
HNA 4922,719705303,1
QGS 6557,967150067,1
RFV 7872,204564164,0
UQE 6817,216895376,1
HBH 8473,607536698,1
EYE 6912,976877396,1
PKR 5999,948831410,1
BYO 7911,314558699,1
OBM 4321,119408816,0
SRJ 2723,248080565,1
SUR 1953,492528978,0
OAF 3702,245167034,1
JFR 3640,638724059,0
GNV 7889,349569323,1
DVX 8972,947620585,0
DKG 1554,870797309,0
FYN 5892,278027571,0
HGX 7851,112887296,1
QKB 2679,933339625,1
UYN 2554,985156627,1
CRB 9210,247487497,1
MHJ 5768,181904370,1
RSH 6478,529385881,0
PJU 2015,339998076,1
GYM 6192,356760365,1
QAY 8914,490266174,1
EJC 2315,357267422,1
LCI 4609,549391565,0
JEL 5442,606872374,1
VZK 5935,686972253,0
GXA 4951,910009952,0
SVH 8127,504130873,0
YMB 1690,704400727,0
EWL 3528,299077999,0
MDM 4023,148089284,0
CPS 8873,892527616,0
SAE 3424,732460846,1
XOS 4199,602301128,0
OTI 3163,423168852,1
TZR 9011,975266945,1
PJT 8666,726427714,1
JBP 7191,427053744,1
ZXE 7831,428849693,1
KCP 4299,810036568,0
CWG 9376,199917158,1
SVA 4830,707155791,0
YBW 8927,980663912,0
NWK 6906,327227980,0
QAQ 1178,541972812,1
EFO 5052,766806655,1
PLY 7180,980092057,1
QOG 8342,840057544,0
UND 1725,864624534,1
XLP 8317,364304787,0
HRI 2513,315896848,0
TMI 1245,365863648,1
OVW 8610,114991406,1
FVE 3857,307083678,1
SCJ 6792,578566767,0
GUD 8590,468923207,0
FMI 8189,144069462,0
ZTF 6402,579553275,0
BBL 9216,657212973,0
YYL 4233,495272770,0
BDY 1329,810959874,1
JSK 6342,673749219,1
JKU 8619,404834474,0
TDO 4233,635574913,0
WID 7120,927574204,0
VWA 2688,757813159,1
JYZ 7298,298502524,1
PLL 9034,590600487,0
SCQ 9932,648265789,0
OSN 5463,269653586,0
JSU 9728,789440933,1
NER 8618,519048098,0
MBX 7694,784426770,0
AYU 9363,981847435,1
VVG 7496,662466801,0
KXT 5562,397110670,1
BQR 6821,441706937,0
OWP 3016,547666762,1
KVY 4492,525413084,0
RLS 9483,225823750,1
OUO 6777,504040758,1
QZS 4485,730332426,0
LJO 4729,432562989,0
GPI 7126,387645166,1
BAK 5684,838621719,1
UCM 7821,187955941,1
VXK 1279,623093073,1
VAD 8350,943212284,0
RHB 6343,740614092,1
PWM 7741,610919370,0
EDE 8473,627410088,1
QSH 9886,644344506,0
SFA 8455,857697191,0
RGB 3845,876795776,1
VFK 9598,248072424,0
DBJ 9688,876580838,0
IAL 5670,257009205,0
VRR 6573,885216885,1
NTA 2503,155157397,0
JWG 6567,110417626,0
FRN 1444,883616263,1
CTI 6092,537876136,1
WEC 8460,548948718,0
WFI 8893,501576097,0
FYZ 1360,638711083,0
FSZ 1454,377688788,0
STU 2104,566020752,0
EYH 2736,362142049,1
FNJ 1595,763119376,1
BIG 2163,861875773,1
OBE 3933,429523608,1
VVW 6359,202582195,1
KTR 2965,731715637,1
DAR 1961,831695421,0
RDZ 2663,106372444,1
GPX 8905,619844551,0
YWP 5636,420702460,0
AQL 6600,705342169,1
DVQ 7640,107443856,1
GLG 1869,701330743,0
UQV 8965,413703593,1
VNE 3028,333146720,1
YPQ 2731,167261310,0
QAL 1078,149156111,0
INP 1763,654076500,0
FWE 4100,764465720,1
QDH 9060,831535614,0
UXO 8008,830935156,0
EBJ 1602,513858699,1
UTP 6724,587166953,1
YSX 1379,115655247,0
RPW 9541,590187629,1
XTF 3731,291272356,0
QOS 2574,911559645,1
UDK 5936,615489599,1
CAP 4992,950364150,0
GTX 2526,196328634,0
NGN 4922,251676674,1
KMO 5026,117826366,1
DUV 4188,339781670,1
ZDA 9076,857569500,1
ILU 2211,141206464,0
GLL 5193,675909462,1
AIZ 7157,224786262,0
KRZ 6665,371004558,0
GXM 1099,258712762,1
FQK 9934,202321270,1
XHK 1874,266563984,1
NRD 2396,401166420,1
XIZ 9134,534618556,0
OSD 6645,882326558,0
ZGH 5268,318919426,0
HAF 3329,785505861,1
RIM 4768,200248208,1
ACO 6050,196453206,1
ZIE 2893,506382214,0
OHK 3521,213592865,1
HBL 2203,891775788,0
SQO 2090,299604753,0
SDP 5762,634826511,1
OKD 4627,527454157,1
WBO 8246,729040947,0
LKE 5869,204222450,0
EXF 3350,874870132,0
IWC 9902,553036497,0
VAS 6821,735967344,1
UXO 5580,357681540,1
TXY 1729,697399910,1
ZEA 5623,404034304,1
NIO 7138,174855931,1
VWO 3217,968808806,1
TVS 5272,776232874,0
MRP 4740,576086232,1
NGF 3494,113185021,0
IIS 1054,206322401,0
ECV 9748,713434391,0
GMY 3501,384065416,1
DMK 8116,113562524,1
CCU 6245,249414695,1
JOV 3018,931541757,1
ZTS 3708,376374929,1
KNA 2664,246273462,0
AGY 4249,237356118,1
XNI 1338,931553922,0
PPY 9751,630688509,0
PAO 3614,372405178,1
EVF 7938,452294388,0
RXY 7661,591804528,1
XAK 3959,371405153,0
IYV 7186,721010719,1
SLY 8824,640439277,0
MTY 4302,280129463,0
IDD 8402,444741907,0
BWA 1123,146112729,1
TGS 2527,966130431,0
SMD 5233,161969580,1
OUH 8352,333030478,1
ZOV 1616,106102270,0
GNO 8277,669616124,1
RRJ 4317,221774601,0
KIU 6133,681492825,1
FWC 2581,343787041,1
SGP 3140,118994369,0
TRG 6197,925991868,0
VXV 3829,807782910,0
PEQ 9566,469424723,1
AKX 1852,885762816,0
BBG 9610,170683827,0
FLR 8907,659373079,0
CVK 3940,784083996,1
XWB 7322,628225449,0
YUV 6980,298758322,1
PQU 1842,559580143,1
FWV 5007,196294382,0
SSO 2621,870121811,1
ORR 2567,287939132,1
CJM 2321,107884438,0
OOF 1615,360634953,1
RAI 5969,194086098,1
XLU 7524,990370559,1
NTX 3209,199872921,1
YKL 8204,103267293,0
JBV 5801,889301743,1
CQK 6331,552615516,1
GAP 7799,346557565,1
FJJ 6513,658588885,0
JIL 7252,218328200,1
NWZ 2548,279829274,0
BJO 2889,649129270,0
LYG 1624,984039261,0
YED 7077,624202048,1
UTL 6435,240272619,1
DKN 5913,160152512,1
WCU 6008,724377422,1
FAT 1275,240881346,1
ZII 3900,774843459,1
TWH 4242,460750388,0
OLF 1083,169911387,0
VXW 6749,293494526,1
IKM 3103,523485483,1
WTP 7910,665202779,1
FVR 6068,830825996,0
IMR 4073,983706914,0
SFY 6083,279515758,0
VIC 5045,112773364,0
MNJ 7479,528860572,1
WUV 4269,816086124,0
NGC 6853,376314973,1
FZK 3265,583673289,0
QIO 4031,953111069,0
TTU 3780,190629972,0
VPA 1271,518357922,0
KIK 6964,140479858,1
DEA 4351,323975473,0
YFZ 1941,168461307,0
DOW 5850,647914714,0
MFE 8076,832297408,1
SEN 3082,861110076,0
WZH 6486,269722741,1
GJN 7732,418702756,1
JTN 8740,919933922,1
IWS 4314,271654104,1
TJJ 4013,702302693,0
OSJ 7825,306336498,0
WNJ 1723,350228559,0
NSW 3495,493418101,0
EVG 6190,923650537,1
MNU 4959,860721142,1
KYS 4932,281926066,1
NPN 4968,978741130,0
OGP 5477,866933596,0
ZMY 3468,257920188,1
VZV 4479,350416419,1
HLR 5722,692030248,0
NCN 3034,777315459,1
PSW 8721,102610119,1
KZR 3912,516418279,0
XDT 8980,656198674,0
VDI 8026,222894115,1
TBP 3133,985269033,1
YTT 1706,726044217,0
YYZ 2159,997371714,0
BZZ 3754,660817286,1
PQL 3599,463090950,1
NUP 4007,208659569,1
CDZ 8937,440653293,1
QVL 3642,934592469,1
GSD 1151,742092773,0
OLL 1617,672040961,0
IRJ 2080,590167052,1
WQV 1112,124794788,1
HEP 3426,714025168,1
BIS 8237,120165682,1
MNC 4835,804366281,1
NAN 6782,613220673,1
JNH 5996,476678315,0
VGR 3668,748210994,1
OHT 6632,110659502,0
RNQ 6742,682091318,0
VLV 2356,536154428,1
IRP 8919,915187146,0
NNX 4580,988729142,1
BEU 6007,885296015,1
YXA 2702,987296946,0
CSW 3257,767843880,1
LRU 7042,971753011,0
XRJ 6133,193789759,1
LGN 8788,635157670,0
GGO 4077,289013916,1
ZDR 5970,812415944,0
IHT 9277,944524359,0
ZJF 7576,678892032,0
DJU 5595,775688444,1
OFD 4483,118024347,0
KDL 2680,727709933,1
KJW 2765,324011504,1
TNI 2787,879586021,0
GNP 4396,295671200,1
UMK 9470,108689833,1
BYG 3467,573835115,1
WVR 4404,399523610,0
IYD 9680,783954896,0
KIJ 9176,212795009,1
WAX 6546,461874420,0
LLJ 3821,232526126,0
PMZ 5496,399888417,0
OWE 3980,154424053,0
SVS 2402,581190038,1
FDV 7577,462107890,1
XGK 4963,942749914,1
YAU 8262,443661171,0
GXA 3727,424504392,0
JOY 6499,908097644,1
NHX 7170,191609132,0
NWB 5333,620914758,0
QCY 3620,459966906,0
NXL 4778,924186858,1
RXU 6104,440458856,1
OIJ 8456,918671807,1
YGX 7968,371445955,1
FTI 9340,693564796,0
HBD 9085,192817940,1
DCJ 3648,127688432,0
FYM 2912,933619314,0
TVF 3670,403378807,0
ETP 9174,289510723,0
HSG 5741,345051914,0
SRF 4283,716478453,1
HRF 7376,592402372,0
BZV 1532,274537691,1
BZS 9877,768689493,0
JGX 2918,995252278,0
YSR 2409,542532964,0
BJD 4592,115189285,1
YLE 3217,866449838,0
IGN 4642,524519063,0
PTX 8534,989449113,0
XBR 9209,788147437,1
SXN 6066,997086903,1
SRZ 1423,142170556,0
EDJ 7179,899409184,1
TOF 4525,607586752,1
JFJ 7122,550732370,1
AAR 4058,593834953,1
STG 7373,721274278,1
HOR 6559,688872357,1
BFE 9197,229184162,0
QHI 7730,286751243,1
LAE 1280,131331470,0
PVP 4888,980071733,0
NBW 4715,188999302,0
BTO 5694,652717012,0
UCW 5111,749481826,0
QYO 5248,335747183,1
RGN 7013,103393714,1
HQG 1470,460192342,0
JFF 3859,710304611,0
FYK 8794,333532440,1
DED 4048,835016124,0
OBU 2734,776938521,1
NKT 7837,320516836,1
BSS 8206,172379406,1
AHH 1762,344231063,0
GUA 6196,579343108,1
RYV 2952,532400186,0
HEL 4328,828985285,0
TLR 4959,829950481,1
GIB 6445,372717910,1
TMT 5150,960820565,1
VYW 8985,162951187,0
EVG 4055,564466228,1
BRM 1055,413955067,1
RUZ 5159,410618860,0
UCQ 3685,534528340,1
PVF 5460,581388188,1
KWJ 4352,349557870,1
HXV 2619,587667635,1
ASD 9431,823070974,0
ZJP 7040,205597766,1
RWJ 3210,770394138,1
ROD 6473,638725448,1
LHN 1094,244965350,0
JPO 9979,340490396,1
WRA 1603,569438458,0
HTT 4472,730159063,0
QBD 2135,559435430,1
NLD 6741,529838056,1
QZF 2195,362835482,1
LRP 6403,451510486,0
RPB 9720,382342207,1
TBP 1953,453472968,0
HGC 6117,542325874,1
QFE 5517,483420371,1
YEL 2834,948934390,0
VAR 1546,508403457,1
YNC 3405,882031247,0
YNO 1955,845436861,0
LWE 7775,977466947,0
XEE 5391,116774348,0
KOD 6035,360858308,0
LGU 2542,676409230,1
TJJ 7984,612031231,1
ZVI 4647,780430291,0
VBB 5422,238455495,0
TLN 9615,864697339,0
HJG 2758,698834399,1
GHG 3060,116378834,1
VDP 3569,550412673,0
VAV 1547,745356080,0
IYC 5641,495705991,0
LUN 1399,551787951,0
QUE 7739,248783186,0
VPB 4830,699473899,0
RLY 4097,224595737,1
MFR 1167,876174935,1
MSV 1299,814058371,0
CUQ 4655,675862075,1
ZBW 3965,302517135,0
EXH 1603,850515068,1
GCQ 7040,594844776,0
OQY 5164,328940897,0
QUV 8238,385509951,1
KHU 3082,413624019,0
ZEZ 5976,853368413,1
LLX 8590,795509954,1
PLG 4060,880505067,0
UNV 4653,718053954,0
HJP 4582,705707342,1
EAT 6134,712704567,0
HZU 9771,127038151,1
OUA 2062,282211959,1
RBK 8141,507478303,1
GPM 6091,342543828,0
JAT 3989,690734173,1
YAT 8616,135511928,1
FUN 9897,869668884,1
KEE 7390,769564387,1
DKO 9346,385862644,0
XTS 3971,648653532,1
BFD 3574,243071811,0
DVA 5745,613461121,1
IGS 6319,255727172,0
HRH 2218,264262169,0
EAS 6940,945825051,0
EXF 5567,924550087,1
TCA 1033,627912110,1
PQV 9348,653211703,0
JIO 6510,140751806,1
SYA 8921,206753442,0
LMW 7389,426201564,1
LUJ 1833,862204190,0
CHB 4191,577649179,1
LGK 6942,363644240,1
TOW 3157,822490383,1
PWZ 8912,591571071,0
BXG 2307,526009176,1
SHM 5459,563107489,1
XJK 5283,496202840,1
SUE 3192,970607175,1
VFA 4321,542850270,1
CFT 9506,357856640,1
HHT 6468,959430922,0
EGA 1751,417967729,0
ODL 1983,252160592,1
YVY 5049,383742701,0
UIU 5370,475418181,0
AYB 7933,258233205,0
CCV 2369,179008563,1
UTW 5948,816784253,0
OZB 9874,993328749,0
SWZ 5569,820485384,1
GRV 7677,148877081,0
KUY 3503,997229636,0
XUT 2863,710135167,1
KGO 4735,933793481,0
GBY 6413,155518050,0
EPH 3013,924574749,0
XAR 5042,244722090,1
KHZ 9846,171482104,0
SNE 4696,199133012,1
CVT 4437,545911185,0
MUT 6608,200780540,0
TRW 3871,385120210,1
WYC 5911,996714821,1
MGZ 7808,888458981,1
DTM 7828,230471060,0
RNN 7129,987145915,0
GUE 6219,296538791,0
IKE 5719,580824780,0
LNV 1885,915613195,0
BSX 2624,522710010,0
XAN 8101,680860618,1
CFZ 7508,362811115,0
MXB 6104,503877644,0
JQF 3994,380694720,1
HOP 3724,670261294,0
MBI 8312,713882793,0
WNT 4386,470185969,0
FSG 6613,659756324,0
EMG 4975,824657170,1
DOS 9334,566418848,0
FVO 7154,335051398,0
WRF 8493,737712358,1
SZF 8941,220210443,1
JQY 6324,204330785,0
AAG 5366,709613883,0
NYA 7217,252904902,1
UNM 1200,773948920,1
UJU 3953,759677537,1
QGL 1952,599664418,1
DPS 4675,696886700,0
YKZ 1870,382737581,1
YAV 6550,194652603,1
DJX 9957,815463763,1
JSH 5156,876012969,0
RKJ 2163,616754495,1
XJW 2994,164331064,0
ZSB 9961,458887339,1
ZAD 8319,982140606,0
ZDV 9394,124094222,1
YMN 6058,470264738,1
KUL 3465,739245075,1
TXH 5851,121379240,0
SKH 6149,536224706,1
HWL 2537,240628017,0
TZI 8931,341171970,1
VKH 2246,637429838,1
HSH 4701,142354634,0
YLC 7522,289863384,1
RJA 7043,356676392,1
MFQ 9918,584757265,1
KXQ 7251,736654877,1
UPU 7255,370596451,1
OWV 4207,317196458,1
JAT 7310,283814462,1
PED 7742,702620868,0
YHE 6035,115273658,0
LGS 5350,926406497,1
WZC 3004,200243936,0
SCZ 9294,672246756,1
ZSR 7746,204668520,1
MBX 4774,766240531,0
QAW 6965,924743700,0
ZWC 2215,864088541,0
UJB 7341,131411740,1
JAQ 6728,627209647,0
MRD 2614,994152468,1
SLG 1546,645227776,0
OBF 9820,933377029,1
LVV 5126,949593912,1
MUA 4209,132814456,1
JZK 5722,263267492,0
XVW 3082,478843699,0
ZTT 9442,220172587,1
JKC 8925,280712419,1
MAT 4220,712948776,0
VJK 5811,716830804,1
SBW 9731,182971797,0
XFK 4852,530216499,0
AOQ 1350,996155271,1
PMU 7008,140689868,0
MND 7029,453690719,0
ALB 2119,317898939,0
CKI 9976,995089893,1
IBO 5925,412121397,0
OUJ 7864,941256599,0
VAA 7404,541585189,1
ZFV 4188,467302829,0
DXI 6081,932913557,1
IPN 8048,404301737,1
PYE 1129,202112301,1
SGN 8820,350730739,0
CKX 7736,120564250,1
EZQ 5614,466942202,0
UZW 7810,495895223,0
RBR 1067,188365734,1
JYC 2960,687401084,0
NHP 1939,530667229,1
SOP 7496,638104703,0
JCN 7507,290695001,0
SYV 2609,260805793,0
NCH 4074,432544666,0
RZI 5432,992443614,0
WSN 4154,146535953,1
TZM 3946,691561717,1
ART 9829,548534066,1
IIC 4529,622711197,0
FJF 5652,141377029,1
BWC 4487,883971937,1
PJX 9565,483607074,0
TFK 3755,376945157,1
ISM 6532,242872177,1
BLD 2020,217544436,1
RGX 8508,358378222,1
XQU 3110,435608976,0
VJX 8935,676837881,0
ZXB 5421,282281326,0
ELS 5137,408099680,0
KMG 2843,361978491,0
HXX 6595,475920523,1
YCI 4056,820080753,1
TEV 7595,221274664,0
QEA 6141,705552761,1
CLH 4362,854333376,1
XPC 7529,634670057,1
MJM 4549,606320639,0
AVQ 9299,753947702,0
PRJ 1193,615085210,0
ESG 1428,569001584,1
JOG 4993,503721929,0
RAO 1854,331732452,1
SGP 9194,587750665,1
GES 2126,803187725,0
NWA 9722,611239346,1
MLV 5563,133550208,0
WPJ 4916,312732334,1
PMK 6239,370495965,0
NGE 4537,830230186,0
HGU 1604,932989774,1
DSL 7224,653576406,1
YFF 6393,126582939,1
MUY 9848,563860735,0
TYO 7329,508766990,0
SCQ 5438,298121575,1
GVR 8148,354106237,1
HXW 6187,676272427,0
DXF 2963,923713958,0
KHS 5408,368769444,1
ALG 2067,989525249,1
FLZ 4560,429039861,0
HRN 4800,733409872,1
KEH 5341,612917330,1
CME 6455,183145938,1
CTN 7034,805891775,1
GEY 4185,426760232,0
CTO 1015,929743421,0
MZP 2074,179310562,0
SNW 7516,113531032,1
JPJ 1696,376306740,1
SQX 7173,248632027,1
RBV 1937,450495680,1
ZCO 9459,203139981,0
IZR 4677,978888995,0
YND 4838,997508284,1
VAL 9355,370994246,0
IUV 1512,506690704,0
HPD 1427,762029228,1
YKM 3181,784837422,0
ZHQ 6782,759369294,1
KGB 1658,342130958,0
KBU 3402,646782111,0
HGN 6538,218111228,0
DXU 3092,537713379,1
GPG 1836,966143045,0
QRB 2631,693691209,0
ZFI 7878,681497541,1
CRV 2652,947560235,1
VJE 3362,571411270,1
VET 5230,828878981,1
DIC 8124,657876429,1
GDP 3758,662892775,1
BJG 2098,208034347,1
UCQ 7778,345269689,1
WJE 3215,412215066,0
LNK 6799,680539953,0
PIB 9024,952864794,1
XNS 3103,276856787,0
OSB 9473,729094667,1
AJA 5373,948850688,0
TZU 1944,865229337,0
NKS 9297,589778915,1
TWD 8457,866422865,1
XPE 9970,711145866,1
LNV 6977,657072049,0
HCJ 8362,226098966,1
BUR 6576,730989989,1
LQE 3210,263593110,1
PFN 3495,639426975,0
BTI 2241,689274847,0
HWU 4873,658059127,0
KYT 2568,800909914,0
CGX 4718,583140718,0
MFI 1011,159535908,0
TAM 1443,793858855,0
QXD 3953,401304923,1
ZAA 7442,841780821,0
CLK 5135,264279030,0
KQF 3491,704346260,0
AHU 4423,699140331,1
YJE 4186,574470125,1
XTY 1728,496624246,1
ATJ 1835,928954825,1
AHV 2441,670918873,0
EJG 7226,392936081,0
APJ 4866,780553257,0
BSX 5960,591935797,0
KIF 7396,341261573,1
BXJ 2439,438709630,0
TUT 1304,267980573,0
QFL 8928,145420952,1
DPZ 9354,121046690,0
TLT 4835,784012045,0
YLC 3875,659805411,0
RWF 1029,708543569,1
SAO 7656,932164518,0
ZNH 4101,610620317,1
YDX 2508,472767097,1
PIB 4936,181180765,1
BHP 1229,272910561,0
QDX 1339,292627565,1
RAN 4897,506237030,0
APX 4719,453640723,0
NNL 3630,461071567,0
XHY 8286,716319163,1
SYI 1932,740447557,0
UXY 9088,561074844,0
KEW 8188,478561189,0
VQX 2067,546792275,1
SIT 5987,208510678,1
BVI 9196,736089461,1
XXX 5158,664668962,1
OQA 1434,907437296,0
MDW 5087,971955518,0
SPL 6905,441958409,0
